,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,popularity
15723,219560,0.000938,0.562,0.8320000000000001,2.83e-06,2,0.063,-5.26,1,0.0499,104.042,4,0.685,0
14670,232106,0.539,0.422,0.425,0.0,4,0.166,-5.666,0,0.0348,151.929,3,0.417,0
17804,172440,0.14,0.911,0.597,0.0,11,0.1159999999999999,-6.517,0,0.273,142.036,4,0.315,1
2666,163292,0.126,0.595,0.772,0.926,8,0.221,-8.033,1,0.0367,134.9,4,0.345,0
6948,123960,0.119,0.923,0.768,0.0,1,0.0689,-7.321000000000001,1,0.0674,94.013,4,0.96,0
13774,169251,0.149,0.8370000000000001,0.649,7.63e-05,11,0.103,-5.26,0,0.192,164.002,4,0.948,0
3277,176800,0.901,0.589,0.311,0.0661,10,0.1169999999999999,-13.573,1,0.0395,199.887,3,0.6409999999999999,0
15788,204326,0.918,0.331,0.235,0.0,10,0.1369999999999999,-7.7,1,0.0299,171.232,3,0.218,1
10454,210626,0.332,0.58,0.527,2.96e-06,10,0.1009999999999999,-11.505,1,0.0441,180.021,4,0.905,0
15608,227076,0.0327,0.491,0.809,0.0,4,0.121,-6.269,0,0.057,130.06799999999998,4,0.142,0
14695,171266,0.0625,0.573,0.7859999999999999,0.211,7,0.1169999999999999,-4.354,1,0.0353,110.289,4,0.61,0
8013,185116,0.5670000000000001,0.514,0.777,0.0,9,0.297,-9.196,1,0.351,137.55200000000002,4,0.716,0
3404,320186,7.68e-05,0.838,0.7240000000000001,1.02e-06,1,0.162,-6.9,0,0.242,150.192,4,0.537,0
10269,205906,0.446,0.628,0.69,0.0,8,0.1119999999999999,-5.827999999999999,1,0.0511,179.91099999999997,4,0.662,1
17456,163293,0.2789999999999999,0.659,0.765,0.0,4,0.123,-3.869,0,0.0334,104.025,4,0.573,0
12609,296193,0.00262,0.784,0.8320000000000001,0.407,4,0.312,-6.579,0,0.0946,123.993,4,0.287,0
